SKU,Item Name,Category,Country,Brand,CY Sales (YTD),PY Sales (YTD),YoY Sales %,CY Revenue (YTD),Weekly Run Rate,Monthly Target,Weekly Target,Annual Target,Expected YTD,YTD Variance,Sales Pace %,Sales Health,Remaining Target,Req. Weekly Sales,Req. Monthly Sales,Effort Multiplier,Total Stock,TWC Stock,Bonded Stock,Stock Coverage (Mo),Stock Coverage (Wk),TWC Coverage (Mo),TWC Coverage (Wk),Wks Until Stockout,Stockout Risk,Bonded Reorder,TWC Reorder,Bonded Est. Reorder Qty,TWC Est. Reorder Qty,CY Purchases,PY Purchases,Stock Turnover
001-001,Santa Cristina Red 2023,Red wine,Italy,Santa Cristina,26.0,0.0,,493986.0,3.25,8.0,1.8461538461538463,96.0,14.76923076923077,11.23076923076923,0.7604166666666665,Ahead,70.0,1.5909090909090908,6.893939393939394,0.8617424242424242,44,44,0,3.130769230769231,13.538461538461538,3.130769230769231,13.538461538461538,13.538461538461538,HIGH,REORDER,,99.0,0.0,0.0,0.0,1.55
001-002,Santa Cristina White 2023,White wine,Italy,Santa Cristina,54.0,12.0,3.5,845413.0,6.75,20.1,4.638461538461539,241.20000000000002,37.10769230769231,16.89230769230769,0.4552238805970148,Ahead,187.20000000000002,4.254545454545455,18.436363636363637,0.9172320217096336,204,140,64,6.988888888888889,30.22222222222222,4.796296296296296,20.74074074074074,30.22222222222222,,,,0.0,0.0,0.0,0.0,0.43333333333333335
001-004,Santa Cristina Chianti 2022,Red wine,Italy,Santa Cristina,68.0,67.0,0.014925373134328358,2222589.0,8.5,27.4,6.323076923076922,328.79999999999995,50.584615384615375,17.415384615384625,0.34428223844282263,Ahead,260.79999999999995,5.927272727272726,25.684848484848477,0.9374032293740322,197,120,77,5.359558823529412,23.176470588235293,3.264705882352941,14.117647058823529,23.176470588235293,,,,0.0,0.0,0.0,0.0,0.8
001-005,Antinori Villa Antinori Red 2019,Red wine,Italy,Antinori,0.0,0.0,,0.0,0.0,1.2,0.2769230769230769,14.399999999999999,2.215384615384615,-2.215384615384615,-1.0,Critical,14.399999999999999,0.3272727272727272,1.418181818181818,1.1818181818181819,47,29,18,,,,,,,,,0.0,0.0,0.0,0.0,0.0
001-006,Antinori Villa Antinori Chianti 2021,Red wine,Italy,Antinori,2.0,15.0,-0.8666666666666667,134000.0,0.25,7.0,1.6153846153846154,84.0,12.923076923076923,-10.923076923076923,-0.8452380952380952,Critical,82.0,1.8636363636363635,8.075757575757576,1.1536796536796536,101,68,33,93.42500000000001,404.0,62.90000000000001,272.0,404.0,,,,0.0,0.0,0.0,0.0,0.046511627906976744
001-008,Antinori Peppoli 2021,Red wine,Italy,Antinori,0.0,0.0,,0.0,0.0,1.5,0.34615384615384615,18.0,2.769230769230769,-2.769230769230769,-1.0,Critical,18.0,0.4090909090909091,1.7727272727272727,1.1818181818181819,76,76,0,,,,,,,,,0.0,0.0,0.0,60.0,0.0
001-009,Antinori Pian delle Vigne Rosso Montalcino 2019,Red wine,Italy,Antinori,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,41,11,30,,,,,,,,,0.0,0.0,0.0,0.0,0.0
001-010,Antinori Cervaro della Sala 2020,White wine,Italy,Antinori,1.0,1.0,0.0,205932.0,0.125,0.2,0.04615384615384616,2.4000000000000004,0.3692307692307693,0.6307692307692307,1.7083333333333328,Ahead,1.4000000000000004,0.03181818181818183,0.13787878787878793,0.6893939393939394,13,3,10,24.050000000000004,104.0,5.550000000000001,24.0,104.0,,,,0.0,0.0,0.0,0.0,0.07142857142857142
001-011,Antica Chardonnay 2020,White wine,United States,Antica,0.0,0.0,,0.0,0.0,0.2,0.04615384615384616,2.4000000000000004,0.3692307692307693,-0.3692307692307693,-1.0,Critical,2.4000000000000004,0.05454545454545456,0.23636363636363641,1.1818181818181819,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,
001-012,Antinori Bramito 2022,White wine,Italy,Antinori,12.0,0.0,,711600.0,1.5,3.8,0.8769230769230768,45.599999999999994,7.015384615384614,4.984615384615386,0.7105263157894739,Ahead,33.599999999999994,0.7636363636363636,3.3090909090909086,0.8708133971291866,40,30,10,6.166666666666667,26.666666666666668,4.625,20.0,26.666666666666668,,,,0.0,0.0,0.0,30.0,0.34615384615384615
